id	internalId	realm	lastUpdated	alternateId	sourceSystemId	name	displayName	description	longDescription	minimumAge	publishStart	publishEnd	premiereDate	geoRegions	pageURL	defaultImage	logoImage	posterImage	squareCardImage	channelId	channelName	channelCode	packages	videoUnpublishTime	collections	listableTerritories	listableTerritoriesMode	avodDuration	svodDuration	altChannelIds	listableAppNames	listableAppNamesMode	playableAppNames	playableAppNamesMode	contentSubsetId	listablePlatforms	listablePlatformsMode	playablePlatforms	playablePlatformsMode	posterWithLogoImage	coverArtworkImage	analyticsId
go-show-2469	2469	go	2020-12-15T15:12:05Z	house-hunters-where-are-they-now	HGTVHHWTN	House Hunters: Where Are They Now?	House Hunters: Where Are They Now?	House Hunters checks in with former homebuyers to see what they're up to.	What happens to House Hunters after the deal is done? Memorable homebuyers are revisited and get the chance to show off incredible renovations, innovative additions and some total rebuilds.				2012-12-17T22:00:00Z	world	https://discoveryplus.com/show/house-hunters-where-are-they-now	https://us1-prod-images.disco-api.com/2020/09/18/63374d10-e39e-3fdc-88dd-26047d216c09.jpeg	https://us1-prod-images.disco-api.com/2020/09/18/e836e14e-267f-388a-bd10-578942ecfd0b.png	https://us1-prod-images.disco-api.com/2020/09/18/aa013ce6-a30d-30a7-a2a7-08be38f38acc.jpeg		go-channel-90	HGTV	HGTV					deny	ONGOING	ONGOING		trav, cook, own, tlc, food, dam, hgtv, diy, dsc, sci, ids, apl, ahc, dplus_us, dlf	permit		deny	go		deny		deny	https://us1-prod-images.disco-api.com/2020/09/18/2ff2130f-1b78-31f5-b936-7eae9356a841.jpeg	https://us1-prod-images.disco-api.com/2020/09/18/2f629b20-92b5-355d-b8ce-056c779d06ca.jpeg	go_2469
go-show-12254	12254	go	2020-12-16T19:28:22Z	going-rv	DAM025	Going RV	Going RV	Homeowners ditch everyday life and find an RV to take out on the open road.	Daring homeowners ditch everyday life in search of the perfect RV to take on an open road adventure.					world	https://discoveryplus.com/show/going-rv	https://us1-prod-images.disco-api.com/2020/10/12/d6da075f-6f81-315d-8d76-8d504d8d9470.jpeg	https://us1-prod-images.disco-api.com/2020/10/12/67dddfcb-e02b-3c7f-9a0a-129d9ab0af6e.png	https://us1-prod-images.disco-api.com/2020/10/12/efd61c38-ad7a-3365-859e-d37c3e6f7a2b.jpeg		go-channel-80	Destination America	DAM					deny	ONGOING	ONGOING		trav, cook, own, tlc, food, dam, hgtv, diy, dsc, sci, ids, apl, ahc, dplus_us, dlf	permit		deny	go		deny		deny	https://us1-prod-images.disco-api.com/2020/10/12/121b26ed-1938-39a8-809e-535adeeb6aa2.jpeg	https://us1-prod-images.disco-api.com/2020/10/12/e4d30943-ce98-3af2-b22d-4314652b7048.jpeg	go_12254
go-show-2467	2467	go	2020-12-15T21:49:15Z	restaurant-stakeout	FOODRI	Restaurant Stakeout	Restaurant Stakeout	Willie Degel helps troubled restaurants find and fix hidden problems.	Restaurateur Willie Degel helps troubled restaurants looking to find and rectify the hidden problems that lie within their establishments.  His Restaurant Stakeout secret: hidden cameras to keep a close eye on staff and patrons.				2012-03-11T22:00:00Z	world	https://discoveryplus.com/show/restaurant-stakeout	https://us1-prod-images.disco-api.com/2020/07/09/5fbad961-3cc9-3d34-8f5e-8a033e1f3ec4.jpeg	https://us1-prod-images.disco-api.com/2020/07/09/b49b55dd-d96a-3788-a157-b5268b289853.png	https://us1-prod-images.disco-api.com/2020/12/15/3a9bd1e0-9855-3834-a499-fb6ebe3831a0.jpeg		go-channel-89	Food Network	FOOD					deny	ONGOING	ONGOING	go-channel-87	trav, cook, own, tlc, food, dam, hgtv, diy, dsc, sci, ids, apl, ahc, dplus_us, dlf	permit		deny	go		deny		deny	https://us1-prod-images.disco-api.com/2020/07/09/4357f12a-51c5-3423-8d0f-ee1ce7fe7548.jpeg	https://us1-prod-images.disco-api.com/2020/07/09/fb1b51c2-0681-3d78-99f0-15a35befb5ec.png	go_2467
go-show-2466	2466	go	2021-02-25T22:53:35Z	tiny-house-hunters	HGTVHTIHH	Tiny House Hunters	Tiny House Hunters	Homebuyers across the nation hunt for tiny houses that fit their lifestyle.	Homebuyers across the country hunt for tiny houses that fit their lifestyle. They view multiple homes under 600 square feet before deciding if they are ready to join the tiny house movement.				2014-12-15T22:00:00Z	world	https://discoveryplus.com/show/tiny-house-hunters	https://us1-prod-images.disco-api.com/2020/07/19/bdfaa18c-f1f5-31e2-97b5-131ff28cfa7a.jpeg	https://us1-prod-images.disco-api.com/2020/07/19/b55a7731-9ec1-326c-ab48-bc9a2424b61d.png	https://us1-prod-images.disco-api.com/2020/08/05/cf1ed8a8-95dc-3201-b895-f6f2627de446.jpeg		go-channel-90	HGTV	HGTV					deny	ONGOING	ONGOING		trav, cook, own, tlc, food, dam, hgtv, diy, dsc, sci, ids, apl, ahc, dplus_us, dlf	permit		deny	go		deny		deny	https://us1-prod-images.disco-api.com/2020/07/19/9695cbfc-50c0-365b-9e65-1f6a129e5b28.jpeg	https://us1-prod-images.disco-api.com/2020/07/19/e48e24c1-d12d-3e49-be5d-4ee4eea2a7fe.png	go_2466
go-show-1842	1842	go	2021-01-26T15:32:34Z	jeremy-wades-dark-waters	DSC066	Jeremy Wade's Dark Waters	Jeremy Wade's Dark Waters	Biologist Jeremy Wade investigates unsolved mysteries in dark waters.	Angler and biologist Jeremy Wade uncovers the bizarre, the weird and the mysterious as he investigates baffling, unsolved mysteries beneath the surface of dark waters.				2019-05-03T11:00:00Z	world	https://discoveryplus.com/show/jeremy-wades-dark-waters	https://us1-prod-images.disco-api.com/2020/07/17/f3a34c57-bd84-38fa-b4b9-a2757bd18b9f.jpeg	https://us1-prod-images.disco-api.com/2020/07/17/3bd07b7a-8694-3bdb-9580-08370ff875af.png	https://us1-prod-images.disco-api.com/2020/08/08/5f89198f-8107-362e-9d07-1e50139a7803.jpeg		go-channel-76	Discovery	DSC					deny	ONGOING	ONGOING	go-channel-84, go-channel-82	trav, cook, own, tlc, food, dam, hgtv, diy, dsc, sci, ids, apl, ahc, dplus_us, dlf	permit		deny	go		deny		deny	https://us1-prod-images.disco-api.com/2020/07/17/7699e07a-d7b7-33e0-a400-8272ad8028a4.jpeg	https://us1-prod-images.disco-api.com/2020/07/17/32dee989-e1eb-3717-9009-27c98faf5713.jpeg	go_1842
go-show-9570	9570	go	2021-03-02T08:46:20Z	natural-world-ghost-bear	BBCNWGBE	Natural World: Ghost Bear	Natural World: Ghost Bear	Jeff Turner spends a year following a ghost bear in a Canadian forest.	Canadian forests are home to a subspecies of the American black bear that, through a quirk of genetics, are born pure white and known as ghost bears. Jeff Turner and his family spend a year following a ghost bear and its cubs.					world	https://discoveryplus.com/show/natural-world-ghost-bear	https://us1-prod-images.disco-api.com/2020/09/04/b7484632-7803-36e0-a967-57becf4d7819.jpeg	https://us1-prod-images.disco-api.com/2020/09/04/837f6569-2ea3-3ff4-93b7-a058ee262489.png	https://us1-prod-images.disco-api.com/2020/09/04/df1adac4-e904-3138-b10f-737f4ba1630c.jpeg		go-channel-99	Planet Earth	BBC					deny	ONGOING	ONGOING		dplus_us	permit		deny	go		deny		deny	https://us1-prod-images.disco-api.com/2020/09/04/48e78853-2048-3183-bbfc-b776b9ec20fc.jpeg	https://us1-prod-images.disco-api.com/2020/09/04/979d8509-9eca-3343-84a0-12be804761ee.jpeg	go_9570
go-show-2682	2682	go	2021-02-26T14:22:13Z	who-was-jesus	36124	Who Was Jesus?	Who Was Jesus?	This groundbreaking series tells the story of the life and legacy of Jesus.	Using the latest scientific, geological and historical research, this groundbreaking series tells the story of the birth, life, death and immediate legacy of Jesus.				2009-04-06T00:00:00Z	world	https://discoveryplus.com/show/who-was-jesus	https://us1-prod-images.disco-api.com/2020/08/04/75fb4cd3-539f-3b82-bdb6-84a4d860d93a.jpeg	https://us1-prod-images.disco-api.com/2020/08/04/c5e0621d-aa8e-30ac-9cec-f15e2cffa115.png	https://us1-prod-images.disco-api.com/2020/08/04/7821afa9-d38d-3712-91ee-1b0586e2807c.jpeg		go-channel-76	Discovery	DSC					deny	ONGOING	ONGOING		dplus_us	permit		deny	go		deny		deny	https://us1-prod-images.disco-api.com/2020/08/04/23d2a2e1-7b7d-3478-8fda-c37430a4dd27.jpeg	https://us1-prod-images.disco-api.com/2020/08/04/c2d71135-29a8-38b4-b4b8-0e79c62879f7.png	go_2682
go-show-2637	2637	go	2021-01-01T16:27:21Z	american-river-renegades	45339	American River Renegades	American River Renegades	Men and women make their living hunting and fishing on America's rivers.	Men and women make their living hunting, fishing and harvesting plants and wildlife on America's rivers. They battle floods, nasty weather and encroaching development in some of the most uninviting terrain in the country.				2014-05-27T02:00:00Z	world	https://discoveryplus.com/show/american-river-renegades	https://us1-prod-images.disco-api.com/2020/07/20/3de4b348-0e77-3029-b366-4d9f34a31cea.jpeg	https://us1-prod-images.disco-api.com/2020/07/20/a430a211-798d-392d-96c8-7442ceda8e96.png	https://us1-prod-images.disco-api.com/2020/07/30/d2387c3a-b632-3b96-9db3-c2fdc8822985.jpeg		go-channel-84	Animal Planet	APL					deny	ONGOING	ONGOING		dplus_us	permit		deny	go		deny		deny	https://us1-prod-images.disco-api.com/2020/07/20/d9396a4d-9cca-3cd3-be84-340bfdd8cf8e.jpeg	https://us1-prod-images.disco-api.com/2020/07/20/9343e13f-81f8-3d07-a599-09d8a4ec0a9e.png	go_2637
go-show-12963	12963	go	2020-12-29T18:10:08Z	civil-war-blood-on-the-battlefield	FVCWA	Civil War: Blood on the Battlefield	Civil War: Blood on the Battlefield	The American Civil War is brought to life.	The American Civil War is brought to life through the personal and horrifying accounts of soldiers from both sides of the conflict. CIVIL WAR: BLOOD ON THE BATTLEFIELDS chronicles the epic struggle for the fate of the nation in a three-part series that follows two proud regiments.				2015-06-22T01:00:00Z	world	https://discoveryplus.com/show/civil-war-blood-on-the-battlefield	https://us1-prod-images.disco-api.com/2020/12/29/c9b93c60-6ffe-3992-b04d-0a78cd5d5cdf.jpeg	https://us1-prod-images.disco-api.com/2020/12/29/ff8ce968-d5a7-359a-83a1-25221c7d91fb.png	https://us1-prod-images.disco-api.com/2020/12/29/df2a6a38-3710-3a91-9805-cdab29f0587f.jpeg		go-channel-79	AHC	AHC					deny	ONGOING	ONGOING		trav, cook, own, tlc, food, dam, hgtv, diy, dsc, sci, ids, apl, ahc, dplus_us, dlf	permit		deny	go		deny		deny	https://us1-prod-images.disco-api.com/2020/12/29/1e6882bf-6b25-3127-83a4-03abb43cae5c.jpeg	https://us1-prod-images.disco-api.com/2020/12/29/cfbf05c0-e833-3a2f-80de-d36c62cef343.png	go_12963
go-show-2465	2465	go	2021-03-06T20:30:08Z	sticker-shock	54777	Sticker Shock	Sticker Shock	Americans bring in their rides to find out how much they're worth.	From old pickups to souped-up hot rods, Americans bring in their rides to find out how much they're worth. Whether it's a clunker or a classic, Dennis Pittsenbarger and a team of expert appraisers are ready to uncover their worth.				2018-05-01T02:01:00Z	world	https://discoveryplus.com/show/sticker-shock	https://us1-prod-images.disco-api.com/2020/07/27/47ac6e65-6c5b-3f02-a4ce-0f83ec0eb740.jpeg	https://us1-prod-images.disco-api.com/2020/07/27/89575cc9-cfb9-3bb8-b8df-8b5156828667.png	https://us1-prod-images.disco-api.com/2020/07/27/1652853a-63f2-35ad-bba5-a4b5b4fcfe83.jpeg		go-channel-76	Discovery	DSC					deny	ONGOING	ONGOING		trav, cook, own, tlc, food, dam, hgtv, diy, dsc, sci, ids, apl, ahc, dplus_us, dlf	permit		deny	go		deny		deny	https://us1-prod-images.disco-api.com/2020/07/27/bde3c279-a175-32a0-8de4-be6acd1ba40f.jpeg	https://us1-prod-images.disco-api.com/2020/07/27/77d78ba5-4174-3c6b-9904-451bf6c2031f.jpeg	go_2465
